Username,Timestamp,Events,Time Spent,Time Helped
151,3/8/2017 15:06,PROJ1,3,"Not sure on function returns and formal paramaters, core ideas of functions"
128,3/8/2017 15:18,PROJ1,4,Questions about design doc
151,3/8/2017 15:32,PROJ1,2,Help with the divisor hierarchy 
310,3/9/2017 12:02,OTHERS,5,Needed help with print table
151,3/9/2017 12:02,PROJ1,3,understanding print table
138,3/9/2017 12:03,OTHERS,3,Starting the design doc
316,3/9/2017 12:20,LAB6,4,Help with lab6 functions
151,3/9/2017 12:37,PROJ1,2,Needed a bit more help than should be given
118,3/9/2017 12:55,PROJ1,4,Confused by inputs/outputs
245,3/9/2017 13:01,OTHERS,5,Needed help with appending return value to list
262,3/9/2017 13:07,PROJ1,3,Didn't know where to start
250,3/9/2017 13:16,LAB6,2,needed lab regrade
310,3/9/2017 13:22,OTHERS,5, <----- NEEDS EXECUTIVE DECISION FROM Avery
151,3/9/2017 13:28,PROJ1,2,
118,3/9/2017 13:30,PROJ1,2,student left
138,3/9/2017 13:48,OTHERS,5,question about design
292,3/9/2017 14:02,PROJ1,3,design question
334,3/9/2017 14:05,PROJ1,4,design question
245,3/9/2017 14:08,OTHERS,5,syntax error on a list - but not fully understanding the concept of main
151,3/9/2017 14:08,PROJ1,2,needed help understanding triangle
173,3/9/2017 14:31,PROJ1,3,understanding helper functions
151,3/9/2017 14:32,PROJ1,3,checking to make sure tirangle function worked
369,3/9/2017 14:42,PROJ1,4,wanted their design checked
130,3/9/2017 14:45,PROJ1,3,
173,3/9/2017 15:11,PROJ1,3,understanding the concept of helper functions
245,3/9/2017 15:38,OTHERS,5,understanding the concept of helper functions
359,3/9/2017 15:42,LAB6,4,student left ?
302,3/9/2017 15:42,PROJ1,2,just checking what we actually want in the design doc
305,3/9/2017 15:53,LAB6,3,"working on lab 6, understanding functions (...and lists and while loops)"
237,3/9/2017 16:06,PROJ1,4,showed me his pseudocode document for verification that it was correct
245,3/9/2017 16:18,OTHERS,2,called the function an extra time before while loop
173,3/9/2017 16:25,PROJ1,4,needed help with the logic for functions
136,3/9/2017 16:38,PROJ1,4,wanted design checked (making sure he understood what it was asking for)
305,3/9/2017 16:41,LAB6,4,nevermind- already had it figured out
245,3/9/2017 16:51,OTHERS,2,"wanted to divide by all prior number, would not have worked"
139,3/9/2017 16:53,PROJ1,5,input only takes 1 argument (unlike print)
245,3/9/2017 17:12,OTHERS,1,clarification on how to print results
139,3/9/2017 17:13,PROJ1,5,verified the relationship between variables and functions
137,3/10/2017 10:03,PROJ1,4,Needed help with function headers.
